epoch,con_loss,adv_loss,dic_loss
23,0.2248,,
23,0.2623,,
23,0.2107,,
23,0.2201,,
23,0.2973,,
23,0.182,,
23,0.1587,,
23,0.2833,,
23,0.176,,
23,0.2486,,
23,0.1715,,
23,0.1888,,
23,0.362,,
23,0.2849,,
23,0.2637,,
23,0.2468,,
23,0.1979,,
24,0.1897,,
24,0.3259,,
24,0.2246,,
24,0.2426,,
24,0.1574,,
24,0.1492,,
24,0.2035,,
24,0.1541,,
24,0.3043,,
24,0.2624,,
24,0.2457,,
24,0.239,,
24,0.3485,,
24,0.2462,,
24,0.1667,,
24,0.2586,,
24,0.2298,,
24,0.1958,,
24,0.2001,,
24,0.2778,,
24,0.332,,
24,0.2145,,
24,0.2204,,
24,0.2236,,
24,0.1979,,
24,0.2224,,
24,0.248,,
24,0.2295,,
24,0.2279,,
24,0.2635,,
24,0.2899,,
24,0.1954,,
24,0.1443,,
24,0.2017,,
24,0.2031,,
24,0.2651,,
24,0.2501,,
24,0.2769,,
24,0.2972,,
24,0.2397,,
24,0.2116,,
24,0.1972,,
24,0.1916,,
24,0.1257,,
24,0.1925,,
24,0.2176,,
24,0.2701,,
24,0.1557,,
24,0.3337,,
24,0.1655,,
25,0.3067,,
25,0.2457,,
25,0.1995,,
25,0.2203,,
25,0.2778,,
25,0.2138,,
25,0.3012,,
25,0.2522,,
25,0.2115,,
25,0.2002,,
25,0.2144,,
25,0.3125,,
25,0.2006,,
25,0.1522,,
25,0.2759,,
25,0.2741,,
25,0.2573,,
25,0.1716,,
25,0.2203,,
25,0.2631,,
25,0.3019,,
25,0.2209,,
25,0.2033,,
25,0.2326,,
25,0.1723,,
25,0.2548,,
25,0.2841,,
25,0.2243,,
25,0.1975,,
25,0.1455,,
25,0.1649,,
25,0.2954,,
25,0.2542,,
25,0.3836,,
25,0.2568,,
25,0.1482,,
25,0.2097,,
25,0.191,,
25,0.2081,,
25,0.2248,,
25,0.2122,,
25,0.2429,,
25,0.2527,,
25,0.2314,,
25,0.1781,,
25,0.1748,,
25,0.2001,,
25,0.1915,,
25,0.2171,,
25,0.3045,,
26,0.1094,,
26,0.254,,
26,0.2161,,
26,0.193,,
26,0.1134,,
26,0.1833,,
26,0.2442,,
26,0.2411,,
26,0.2422,,
26,0.2359,,
26,0.3653,,
26,0.224,,
26,0.2336,,
26,0.1986,,
26,0.2465,,
26,0.1504,,
26,0.1626,,
26,0.2336,,
26,0.2692,,
26,0.2268,,
26,0.1843,,
26,0.2432,,
26,0.1665,,
26,0.2267,,
26,0.2041,,
26,0.1571,,
26,0.2806,,
26,0.2979,,
26,0.3101,,
26,0.1585,,
26,0.3137,,
26,0.2311,,
26,0.3456,,
26,0.196,,
26,0.3736,,
26,0.1478,,
26,0.1725,,
26,0.2262,,
26,0.2358,,
26,0.3062,,
26,0.2137,,
26,0.3342,,
26,0.3146,,
26,0.1899,,
26,0.2,,
26,0.1935,,
26,0.2011,,
26,0.1996,,
26,0.2051,,
26,0.2704,,
27,0.307,,
27,0.2786,,
27,0.2465,,
27,0.2699,,
27,0.2419,,
27,0.2302,,
27,0.375,,
27,0.2374,,
27,0.2327,,
27,0.2647,,
27,0.2915,,
27,0.2486,,
27,0.2089,,
27,0.2827,,
27,0.3348,,
27,0.2172,,
27,0.308,,
27,0.2724,,
27,0.2949,,
27,0.1901,,
27,0.2266,,
27,0.4126,,
27,0.5063,,
27,0.1949,,
27,0.1925,,
27,0.1311,,
27,0.2859,,
27,0.2026,,
27,0.1864,,
27,0.3233,,
27,0.2413,,
27,0.2694,,
27,0.2007,,
27,0.2336,,
27,0.1477,,
27,0.2721,,
27,0.301,,
27,0.1928,,
27,0.3335,,
27,0.1532,,
27,0.2759,,
27,0.2777,,
27,0.3261,,
27,0.2242,,
27,0.2544,,
27,0.1804,,
27,0.229,,
27,0.3151,,
27,0.3265,,
27,0.3071,,
28,0.1776,,
28,0.2314,,
28,0.3184,,
28,0.3818,,
28,0.1795,,
28,0.3604,,
28,0.1971,,
28,0.2239,,
28,0.1136,,
28,0.3274,,
28,0.2289,,
28,0.2621,,
28,0.1342,,
28,0.269,,
28,0.1962,,
28,0.2966,,
28,0.2698,,
28,0.1318,,
28,0.218,,
28,0.1824,,
28,0.1969,,
28,0.2174,,
28,0.1823,,
28,0.2547,,
28,0.1242,,
28,0.1921,,
28,0.2729,,
28,0.2347,,
28,0.2384,,
28,0.1777,,
28,0.2013,,
28,0.2352,,
28,0.3066,,
28,0.2674,,
28,0.2348,,
28,0.3044,,
28,0.2712,,
28,0.1519,,
28,0.23,,
28,0.2212,,
28,0.1594,,
28,0.2821,,
28,0.2494,,
28,0.2455,,
28,0.1824,,
28,0.2368,,
28,0.268,,
28,0.2801,,
28,0.1814,,
28,0.206,,
29,0.1989,,
29,0.3192,,
29,0.2531,,
29,0.2626,,
29,0.2908,,
29,0.2423,,
29,0.3187,,
29,0.2969,,
29,0.2303,,
29,0.3394,,
29,0.2111,,
29,0.275,,
29,0.132,,
29,0.2014,,
29,0.1927,,
29,0.17,,
29,0.108,,
29,0.1819,,
29,0.2025,,
29,0.1682,,
29,0.1579,,
29,0.2784,,
29,0.182,,
29,0.2205,,
29,0.2631,,
29,0.2109,,
29,0.2477,,
29,0.2208,,
29,0.2196,,
29,0.1335,,
29,0.2164,,
29,0.251,,
29,0.2349,,
29,0.2348,,
29,0.2558,,
29,0.2578,,
29,0.3718,,
29,0.1642,,
29,0.2547,,
29,0.1838,,
29,0.2075,,
29,0.2387,,
29,0.21,,
29,0.1724,,
29,0.1841,,
29,0.3303,,
29,0.1506,,
29,0.1991,,
29,0.294,,
29,0.2208,,
30,0.327,,
30,0.2315,,
30,0.4511,,
30,0.2135,,
30,0.3782,,
30,0.1635,,
30,0.2079,,
30,0.2902,,
30,0.3532,,
